Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code,ID
Italy,,,,,,,,,,914000.0,828000.0,865000.0,961000.0,1585000.0,1696000.0,2000000.0,2204000.0,2384000.0,2411000.0,2431000.0,2510000.0,2518000.0,2560000.0,,2540000.0,2531000.0,2573000.0,2598000.0,2759000.0,2976000.0,3376000.0,3732000.0,4050000.0,4376000.0,4575000.0,4938000.0,5289000.0,5590000.0,5859000.0,6118000.0,6305000.0,6428000.0,6483000.0,6482000.0,6505620.0,6543612.0,6606844.0,6689911.0,6780733.0,6896048.0,7003618.0,7152760.0,7302597.0,Eurostat,Motorcycles,National,Total Number,-,IT,Motorcycles_Total Number_IT
Cyprus,,,,,,2900.0,,,,,8400.0,,,,,10800.0,,,,,14500.0,14800.0,14100.0,13300.0,13100.0,13000.0,12100.0,11900.0,11900.0,12700.0,12700.0,13000.0,12900.0,14300.0,15400.0,16200.0,17300.0,19200.0,22400.0,23500.0,23700.0,23900.0,25300.0,25224.0,26578.0,25802.0,26414.0,27242.0,28183.0,28682.0,29735.0,31108.0,32112.0,Eurostat,Motorcycles,National,Total Number,-,CY,Motorcycles_Total Number_CY
Latvia,,,,,,,,,,,,,,,,,,,,,,,,8970.0,11100.0,15729.0,18444.0,19267.0,19409.0,20100.0,20700.0,21400.0,22200.0,22900.0,23982.0,25193.0,27210.0,30870.0,34154.0,33590.0,17188.0,17385.0,17879.0,18587.0,19807.0,21241.0,20329.0,22166.0,23713.0,26785.0,29561.0,32893.0,35732.0,Eurostat,Motorcycles,National,Total Number,-,LV,Motorcycles_Total Number_LV
Lithuania,17100.0,,,,,26540.0,,,,,28780.0,,,,,22652.0,,,,,,,,,,20033.0,19402.0,19128.0,19266.0,19515.0,19842.0,20244.0,21017.0,21873.0,22861.0,24027.0,25478.0,28826.0,34029.0,36562.0,38995.0,41349.0,43605.0,45983.0,23374.0,26651.0,28784.0,31112.0,33666.0,39703.0,45883.0,52614.0,59984.0,Eurostat,Motorcycles,National,Total Number,-,LT,Motorcycles_Total Number_LT
Luxembourg,,,,,,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,4000.0,4000.0,5000.0,7000.0,8000.0,,,,9946.0,10819.0,11490.0,11950.0,13000.0,14000.0,14000.0,14000.0,15000.0,15000.0,15000.0,17300.0,15800.0,16200.0,16500.0,17226.0,17890.0,18569.0,19485.0,20601.0,24054.0,22705.0,24039.0,25330.0,26474.0,Eurostat,Motorcycles,National,Total Number,-,LU,Motorcycles_Total Number_LU
Hungary,,,,,,,,,,,,,,,,,,,,,168817.0,,162761.0,157693.0,157407.0,159152.0,151019.0,138029.0,97073.0,88000.0,91000.0,93100.0,97500.0,103000.0,112000.0,123000.0,204000.0,204000.0,141000.0,141960.0,142250.0,147380.0,151410.0,157178.0,161540.0,162828.0,162148.0,167413.0,176070.0,185943.0,194594.0,202521.0,210746.0,Eurostat,Motorcycles,National,Total Number,-,HU,Motorcycles_Total Number_HU
Malta,,,,,,,,,,,,,,,,,,,,,7685.0,,,,17179.0,17411.0,11663.0,13881.0,11200.0,11870.0,12402.0,12830.0,13324.0,,,12032.0,12692.0,13440.0,14354.0,14457.0,14787.0,15634.0,15747.0,16813.0,18258.0,19918.0,23191.0,25510.0,26955.0,29252.0,31152.0,33981.0,37874.0,Eurostat,Motorcycles,National,Total Number,-,MT,Motorcycles_Total Number_MT
Netherlands,,,,,,,,,,100000.0,108000.0,117000.0,125000.0,126000.0,128000.0,128000.0,128000.0,129000.0,133000.0,,163000.0,191000.0,232000.0,270000.0,294000.0,315000.0,354000.0,373000.0,392000.0,414000.0,438000.0,461000.0,494000.0,516000.0,537000.0,553000.0,568000.0,585000.0,606000.0,623000.0,636000.0,647000.0,653000.0,653991.0,652336.0,652544.0,655991.0,661639.0,646046.0,654387.0,666597.0,677787.0,690724.0,Eurostat,Motorcycles,National,Total Number,-,NL,Motorcycles_Total Number_NL
Austria,,,,,,,,,,,,,,,,,,,,105000.0,105000.0,112000.0,125000.0,138000.0,374000.0,175000.0,194000.0,213000.0,238000.0,263000.0,280000.0,295000.0,293000.0,305000.0,316000.0,326000.0,332000.0,347000.0,362000.0,378000.0,394000.0,411000.0,431000.0,450277.0,467956.0,484687.0,504302.0,520566.0,536964.0,587246.0,608913.0,631706.0,652485.0,Eurostat,Motorcycles,National,Total Number,-,AT,Motorcycles_Total Number_AT
Poland,,,,,,,,,,,,,,,,,,,,,1356553.0,1235640.0,1134366.0,1067634.0,1008410.0,929269.0,875663.0,842358.0,819902.0,804000.0,802600.0,845500.0,868900.0,845500.0,836000.0,754000.0,784000.0,825000.0,909000.0,975000.0,1013000.0,1069000.0,1107000.0,1153169.0,1189527.0,1272333.0,1355625.0,1427115.0,1502888.0,1587031.0,1669138.0,1749690.0,1830963.0,Eurostat,Motorcycles,National,Total Number,-,PL,Motorcycles_Total Number_PL
