ID,1933,1953,1960,1970,1982,1983,1986,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Water Heater_Share of Households_US,0.01,0.12,0.2,0.23,0.29,0.31,0.35,United States,US,National,%,Water Heater,Share of Households,OWID
