ID,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_BT,1,Bhutan,National,BT,UNOOSA,Total Number,-,Objects Launched Into Space
