ID,1990,2001,2011,2013,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_PK,1,1,1,1,2,Pakistan,National,PK,UNOOSA,Total Number,-,Objects Launched Into Space
