ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Capillary DNA Sequencing_Price_World,10.0,6.52,3.47,1.98,1.65,1.29,1.12,0.76,0.97,PCDB,Price,Capillary DNA Sequencing,Global,World,World,USD/kilobase
Capillary DNA Sequencing_Annual production_World,0.24,5.16,10.8,18.36,25.08,33.6,32.76,39.24,20.28,PCDB,Annual production,Capillary DNA Sequencing,Global,World,World,Gbase
