ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Neoprene Rubber_Price_World,306.3409823843343,305.7157967246302,306.65453504559173,306.65453504559173,307.599056258432,303.8554571814793,290.46907876207104,277.7956969516864,274.8574732911539,269.41731593113906,258.4554902486391,245.7882822176923,239.40684440863907,PCDB,Price,Neoprene Rubber,Global,World,World,2022 USD/lb
Neoprene Rubber_Annual production_World,301.1,265.4,288.7,288.7,316.7,313.6,320.3,329.3,340.5,349.4,360.0,360.0,360.0,PCDB,Annual production,Neoprene Rubber,Global,World,World,million pounds
