ID,2011,2013,2014,2016,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_CN,2500.0,7500.0,9930.0,11930.0,211930.0,Flow Battery Storage,China,kW,GESDB,Cumulative Rated Power,National,CN
Flow Battery Storage_Cumulative Rated Capacity_CN,9000.0,19000.0,25300.0,33300.0,833300.0,Flow Battery Storage,China,kWh,GESDB,Cumulative Rated Capacity,National,CN
