ID,2013,2014,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_AZ,1,1,1,Azerbaijan,National,AZ,UNOOSA,Total Number,-,Objects Launched Into Space
