ID,1987,2014,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_DE,8500.0,10090.0,15090.0,Lead-Acid Battery Storage,Germany,kW,GESDB,Cumulative Rated Power,National,DE
Lead-Acid Battery Storage_Cumulative Rated Capacity_DE,14195.0,15380.0,20380.0,Lead-Acid Battery Storage,Germany,kWh,GESDB,Cumulative Rated Capacity,National,DE
