ID,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Phthalic Anhydride_Price_World,149.39898086884617,141.10584769304734,138.26424754847633,140.37426033511835,115.58075641497042,125.04891487659764,125.41949495943788,99.45533213963019,69.38976337448076,69.60348954153994,59.53279792919971,65.46512368264202,80.87079861828403,83.94886211146449,73.64344793470416,57.32673582501923,43.791037256915686,40.739669746326925,PCDB,Price,Phthalic Anhydride,Global,World,World,2022 USD/lb
Phthalic Anhydride_Annual production_World,331.4,315.2,355.8,301.3,357.9,401.1,379.8,427.4,458.6,557.5,608.3,675.2,727.5,743.8,760.0,734.0,794.4,933.0,PCDB,Annual production,Phthalic Anhydride,Global,World,World,million pounds
