ID,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Sodium_Price_World,121.16394308007396,120.46301778134617,119.5794435281509,116.12753807245562,115.42831786303255,117.88698799644972,117.53747131031066,118.01397578902368,111.44641549927515,106.11033040130178,103.94481346286983,103.56909420866864,104.19247359013315,100.45725974473373,97.36135375718936,99.10012218211538,PCDB,Price,Sodium,Global,World,World,2022 USD/lb
Sodium_Annual production_World,266.0,220.6,224.0,227.6,218.2,238.2,251.2,278.6,303.2,329.8,329.0,312.8,329.4,342.4,306.2,321.0,PCDB,Annual production,Sodium,Global,World,World,million pounds
