ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Unit
Bioenergy_Total Installed Cost_World,2902.9265205214465,1460.3691898233808,1676.7110679562654,3396.106410933557,3345.313193439865,2907.0986677039523,2439.6684138772075,3249.749627333894,1899.3539581160637,2432.9287915054665,2818.189141463414,2516.9494170731705,Total Installed Cost,Bioenergy,World,World,Global,IRENA,2022 USD/kW
Bioenergy_Levelized Cost of Energy_World,0.08364542116223717,0.06063984322115223,0.06619714647759462,0.08793408678751892,0.08812335891890663,0.07784919722293523,0.07614511152055507,0.07602939113465096,0.05922344846263246,0.0683944281171068,0.07753034996765347,0.07204178444071488,Levelized Cost of Energy,Bioenergy,World,World,Global,IRENA,2022 USD/kWh
