ID,1974,1992,1993,1995,1997,2000,2002,2004,2006,2009,2010,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_ES,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,5,2,3,1,9,Spain,National,ES,UNOOSA,Total Number,-,Objects Launched Into Space
