ID,1971,1972,1974,1976,1978,1982,1985,1989,1993,1995,1997,1999,2000,2001,2002,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Processor Performance_Computing Capacity_World,0.035,0.08,0.33,0.4,0.9,2.5,5.0,17.0,100.0,800.0,1005.0,1500.0,4000.0,10000.0,12000.0,Kurzweil,World,World,Global,Computing Capacity,Processor Performance,million instructions/second
