ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Primary Bauxite Production_Annual production_KZ,,,3040000.0,3000000.0,2430000.0,3070000.0,3140000.0,3380000.0,3440000.0,3610000.0,3730000.0,3690000.0,4380000.0,4740000.0,4710000.0,4820000.0,4880000.0,4960000.0,5160000.0,5130000.0,5310000.0,5500000.0,5170000.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_MY,398000.0,376000.0,331000.0,69000.0,162000.0,184000.0,219000.0,279000.0,160000.0,224000.0,123000.0,64200.0,40000.0,5700.0,2040.0,4740.0,91800.0,157000.0,295000.0,263000.0,124000.0,188000.0,200000.0,Malaysia,MY,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_ME,,,,,,,,,,,,,,540000.0,610000.0,672000.0,659000.0,667000.0,672000.0,45800.0,61200.0,60000.0,60000.0,Montenegro,ME,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_MZ,7000.0,8000.0,8000.0,6000.0,10000.0,11000.0,11000.0,8000.0,6000.0,8000.0,8130.0,8590.0,9120.0,11800.0,6720.0,9520.0,11100.0,8650.0,5440.0,3610.0,8560.0,10400.0,13000.0,Mozambique,MZ,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_PK,3000.0,4000.0,3000.0,5000.0,5000.0,3000.0,4000.0,5000.0,5000.0,11000.0,8690.0,9000.0,12200.0,4100.0,4850.0,6500.0,12900.0,27400.0,25000.0,11300.0,9580.0,10000.0,12000.0,Pakistan,PK,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_RO,243000.0,200000.0,175000.0,186000.0,184000.0,174000.0,175000.0,127000.0,162000.0,,,,,,,,,,,,,,,Romania,RO,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_RU,,,4580000.0,4260000.0,3000000.0,3100000.0,3300000.0,3350000.0,3450000.0,3750000.0,4200000.0,4000000.0,4500000.0,5500000.0,6000000.0,5000000.0,6300000.0,5780000.0,5680000.0,5780000.0,5690000.0,5940000.0,5700000.0,Russia,RU,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_CS,,,792000.0,102000.0,,60000.0,323000.0,470000.0,226000.0,500000.0,630000.0,610000.0,612000.0,,,,,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_SL,1430000.0,1290000.0,1250000.0,1170000.0,735000.0,,,,,,,,,,,,1070000.0,1170000.0,954000.0,757000.0,1090000.0,1300000.0,776000.0,Sierra Leone,SL,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_ES,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,Spain,ES,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_SR,3280000.0,3200000.0,3250000.0,3420000.0,3770000.0,3530000.0,3700000.0,3880000.0,3930000.0,3720000.0,3610000.0,4390000.0,4000000.0,4220000.0,4050000.0,4760000.0,4920000.0,5050000.0,5330000.0,3390000.0,3100000.0,3240000.0,3400000.0,Suriname,SR,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_TZ,,,,,,,,,,,,,,,,1640.0,5370.0,5000.0,20600.0,123000.0,30300.0,28500.0,20000.0,Tanzania,TZ,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_TR,773000.0,489000.0,613000.0,538000.0,445000.0,232000.0,545000.0,369000.0,458000.0,208000.0,459000.0,242000.0,287000.0,364000.0,366000.0,475000.0,771000.0,344000.0,820000.0,1470000.0,1310000.0,1020000.0,1100000.0,Turkey,TR,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_SU,9250000.0,7870000.0,,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_VE,771000.0,1990000.0,1050000.0,2530000.0,4420000.0,5020000.0,4830000.0,4970000.0,4830000.0,4170000.0,4360000.0,4590000.0,5190000.0,5450000.0,5840000.0,5900000.0,5930000.0,5320000.0,4190000.0,4270000.0,2500000.0,2460000.0,2000000.0,Venezuela,VE,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_VN,,,,,,,,,,,,,,20000.0,20000.0,25800.0,60000.0,80000.0,80000.0,80000.0,80000.0,100000.0,100000.0,Vietnam,VN,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_YU,2950000.0,1910000.0,,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Primary Bauxite Production
