ID,1961,1965,1968,1969,1970,1972,1973,1974,1975,1976,1980,1981,1982,1984,1986,1987,1988,1990,1994,1995,1996,1998,1999,2011,2012,2013,2014,2015,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_JP,150500.0,500500.0,1023500.0,1986500.0,2712500.0,3837500.0,4512500.0,4712500.0,5212500.0,6120500.0,8606500.0,10163500.0,12363500.0,12978500.0,14178500.0,14778500.0,15828500.0,16068500.0,16968500.0,18469780.0,20269780.0,22201780.0,22231780.0,23431780.0,24371780.0,24571780.0,25171780.0,25371780.0,27451780.0,Pumped Hydro Storage,Japan,kW,GESDB,Cumulative Rated Power,National,JP
Pumped Hydro Storage_Cumulative Rated Capacity_JP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14689080.0,14689080.0,14689080.0,14689080.0,14689080.0,14689080.0,22217580.0,22217580.0,22217580.0,22217580.0,22217580.0,37673580.0,37673580.0,37673580.0,37673580.0,37673580.0,37673580.0,37673580.0,37673580.0,Pumped Hydro Storage,Japan,kWh,GESDB,Cumulative Rated Capacity,National,JP
