ID,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_IT,25.0,23025.0,24057.0,33337.0,37537.0,Lithium-Ion Battery Storage,Italy,kW,GESDB,Cumulative Rated Power,National,IT
Lithium-Ion Battery Storage_Cumulative Rated Capacity_IT,60.0,1560.0,2592.0,10486.0,14973.0,Lithium-Ion Battery Storage,Italy,kWh,GESDB,Cumulative Rated Capacity,National,IT
