ID,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_TN,1,Tunisia,National,TN,UNOOSA,Total Number,-,Objects Launched Into Space
