ID,2011,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_KR,150.0,300.0,Lead-Acid Battery Storage,South Korea,kW,GESDB,Cumulative Rated Power,National,KR
Lead-Acid Battery Storage_Cumulative Rated Capacity_KR,138.0,426.0,Lead-Acid Battery Storage,South Korea,kWh,GESDB,Cumulative Rated Capacity,National,KR
