ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_MG,15.0,Lead-Acid Battery Storage,Madagascar,kW,GESDB,Cumulative Rated Power,National,MG
Lead-Acid Battery Storage_Cumulative Rated Capacity_MG,56.25,Lead-Acid Battery Storage,Madagascar,kWh,GESDB,Cumulative Rated Capacity,National,MG
