ID,2009,2010,2018,2019,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CH,1,1,1,1,1,10,Switzerland,National,CH,UNOOSA,Total Number,-,Objects Launched Into Space
