ID,1989,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_CL,30800.0,Pumped Hydro Storage,Chile,kW,GESDB,Cumulative Rated Power,National,CL
Pumped Hydro Storage_Cumulative Rated Capacity_CL,0.0,Pumped Hydro Storage,Chile,kWh,GESDB,Cumulative Rated Capacity,National,CL
