ID,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric,Unit
Geothermal Energy_Levelized Cost of Energy_World,0.05357271264449116,0.059292408706652644,0.10196808910448275,0.05396542830052985,0.09167441352729183,0.06858494547396131,0.06989419307414634,0.06295557211917577,0.07253311895833472,0.07586587398875524,0.07229950653042894,0.07200186448064759,0.05805065788962993,0.07233433005224557,Geothermal Energy,World,World,Global,IRENA,Levelized Cost of Energy,2022 USD/kWh
