ID,1958,1970,1975,1977,1982,2010,2013,2014,2015,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_CH,164000.0,404000.0,764000.0,1134000.0,1484000.0,2484000.0,3497000.0,4097000.0,5337000.0,6237000.0,Pumped Hydro Storage,Switzerland,kW,GESDB,Cumulative Rated Power,National,CH
Pumped Hydro Storage_Cumulative Rated Capacity_CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped Hydro Storage,Switzerland,kWh,GESDB,Cumulative Rated Capacity,National,CH
