ID,1962,1964,1967,1969,1970,1971,1974,1979,1981,1984,1988,1989,1990,1991,1994,1998,1999,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_GB,1,1,1,2,1,2,4,2,2,2,1,2,5,1,2,1,2,4,1,1,3,1,2,3,3,3,2,4,7,10,7,1,7,12,14,104,289,71,United Kingdom,National,GB,UNOOSA,Total Number,-,Objects Launched Into Space
