ID,1998,2000,2007,2010,2014,2019,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_EG,1,1,1,1,1,4,1,Egypt,National,EG,UNOOSA,Total Number,-,Objects Launched Into Space
