ID,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric,Unit
Geothermal Energy_Total Installed Cost_World,2339.7125574459033,3570.275297548927,6177.583655778352,2903.3769647958916,5893.35198205479,4241.505523462898,4003.9766948060515,3921.055003001674,4118.06087780764,4294.266658453856,4657.604446230202,4414.770041031125,3726.2473833726017,4269.700033754921,Geothermal Energy,World,World,Global,IRENA,Total Installed Cost,2022 USD/kW
