ID,2015,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_TM,1,Turkmenistan,National,TM,UNOOSA,Total Number,-,Objects Launched Into Space
