ID,1988,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2006,2007,2008,2010,2011,2012,2013,2014,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_LU,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,9,4,8,11,9,Luxembourg,National,LU,UNOOSA,Total Number,-,Objects Launched Into Space
