ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Nickel-Metal Hydride Battery_Cumulative Total Capacity_World,0.0015696000000000002,0.0634816,0.1170224,0.1838176,0.31979332,0.47192056000000004,0.6680974,1.16307736,1.7959325679999998,2.6376807679999996,3.7941144159999993,4.951355639999999,6.378865631999999,8.237352015999999,9.849725455999998,12.974265551999997,16.252815503999997,19.497539663999998,Schmidt & Staffell,World,World,Global,Cumulative Total Capacity,Nickel-Metal Hydride Battery,GWh
Nickel-Metal Hydride Battery_Levelized Cost of Energy_World,1820.601902082016,1117.0309960301668,1110.9702265710182,1038.3385897603873,923.847900099199,882.3914239598932,831.005031661376,710.9660044832996,666.2015824111195,615.8887510323792,571.4317678356008,546.9987877186292,531.8664689524901,502.37467831330474,493.6395335722003,440.32817626509234,423.7349010754152,420.03523945479805,Schmidt & Staffell,World,World,Global,Levelized Cost of Energy,Nickel-Metal Hydride Battery,2022 USD/kWh
Nickel-Metal Hydride Battery_Total Installed Cost_World,116.68844457744335,71.59423997222682,71.20578505502512,66.55058134637575,59.212491410358,56.55540766633609,53.261882495949784,45.56818111401628,42.699080088670016,39.47436301616862,36.6249667731431,35.05897563417933,34.08909488339493,32.19886771536074,31.639003171754222,28.22210057741732,27.15858225959361,26.92145861412286,Schmidt & Staffell,World,World,Global,Total Installed Cost,Nickel-Metal Hydride Battery,2022 USD/kW
