ID,2011,2013,2014,2015,2016,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_AU,25.0,85.0,2510.0,3543.0,18499.0,269284.0,301284.0,Lithium-Ion Battery Storage,Australia,kW,GESDB,Cumulative Rated Power,National,AU
Lithium-Ion Battery Storage_Cumulative Rated Capacity_AU,100.0,220.0,4270.0,6811.25,21739.25,662016.25,674116.25,Lithium-Ion Battery Storage,Australia,kWh,GESDB,Cumulative Rated Capacity,National,AU
