ID,1994,1996,2001,2003,2008,2009,2011,2012,2013,2014,2015,2016,2018,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_TR,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,Turkey,National,TR,UNOOSA,Total Number,-,Objects Launched Into Space
