ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Acrylic Fiber_Price_World,926.7757093248521,839.3797656544378,748.9928777733728,748.9928777733728,701.2079343365385,636.2298315759616,553.0762450823078,507.6892786975444,401.91321827689353,361.13664402701187,346.4430192772189,317.4970045464497,280.09982112724856,PCDB,Price,Acrylic Fiber,Global,World,World,2022 USD/lb
Acrylic Fiber_Annual production_World,135.7,140.1,170.0,209.7,287.7,368.4,352.9,397.7,521.0,533.0,491.9,545.2,625.9,PCDB,Annual production,Acrylic Fiber,Global,World,World,million pounds
