ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel Battery Storage_Cumulative Rated Power_DE,420.0,Flywheel Battery Storage,Germany,kW,GESDB,Cumulative Rated Power,National,DE
Flywheel Battery Storage_Cumulative Rated Capacity_DE,54.6,Flywheel Battery Storage,Germany,kWh,GESDB,Cumulative Rated Capacity,National,DE
