ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Primary Copper_Annual production_US,492159.4378257632,510763.40282948624,536132.4460163813,559810.2196574833,683272.8965003723,720480.8265078183,827030.8078927774,791514.1474311244,872695.0856291883,1067191.0833953836,1090868.8570364856,1099325.2047654504,1202492.6470588236,1239700.5770662695,1177123.6038719285,1253230.7334326135,1742007.6321667908,1860396.5003723009,1860396.5003723009,1358089.4452717796,1170358.5256887565,728937.1742367833,962332.3715562174,1518760.0521221147,1742007.6321667908,1691269.5457930006,1775833.0230826507,1792745.7185405807,1911134.5867460908,2097174.236783321,1654061.6157855547,1151754.5606850334,522602.28965003724,568266.5673864483,683272.8965003723,903137.9374534624,1261687.0811615784,1637148.9203276248,1216022.8034251675,1549202.9039463887,2012610.759493671,2147912.3231571107,2164825.018615041,2114086.9322412508,1877309.1958302308,1708182.2412509308,1347941.8279970216,1775833.0230826507,1708182.2412509308,1424048.9575577066,1911134.5867460908,1860396.5003723009,1809658.4139985107,1978785.368577811,1860396.5003723009,2063348.8458674608,2215563.104988831,2232475.800446761,2080261.5413253908,1684504.4676098288,2333951.973194341,2384690.059568131,2469253.536857781,2452340.8413998513,2536904.318689501,2621467.795979151,2621467.795979151,1742007.6321667908,2198650.409530901,2672205.882352941,2706031.273268801,2435428.145941921,2875158.2278481014,2875158.2278481014,2536904.318689501,2215563.104988831,2367777.364110201,2300126.5822784808,2452340.8413998513,2570729.709605361,2063348.8458674608,2604555.1005212213,2080261.5413253908,2046436.1504095308,1978785.368577811,1792745.7185405807,1809658.4139985107,1911134.5867460908,2384690.059568131,2503078.927773641,2672205.882352941,2672205.882352941,2892070.923306031,3027372.4869694714,3111935.964259121,3264150.223380491,3399451.7870439314,3500927.9597915113,3619316.8279970214,3196499.441548771,2672205.882352941,2756769.3596425913,2435428.145941921,2114086.9322412508,2130999.627699181,2046436.1504095308,2046436.1504095308,2147912.3231571107,2063348.8458674608,1877309.1958302308,1792745.7185405807,1677739.3894266568,1627001.3030528666,1679430.6589724496,1775833.0230826507,1843483.8049143709,1995698.064035741,1758920.3276247208,1809658.4139985107,Primary Copper,USGS,United States,US,National,metric tons,Annual production
Primary Copper_Price_World,11838.886820551004,11838.886820551004,8118.093819806403,8963.728592702904,8625.474683544304,10654.998138495905,13022.775502606106,13022.775502606106,8963.728592702904,8963.728592702904,8456.347728965004,8287.220774385703,10485.871183916604,9521.847542814594,8050.443037974684,10452.045793000745,15830.282948622487,13851.497580044675,9961.577624720774,6392.998883097543,5310.586373790023,4295.824646314221,4904.681682799702,5242.935591958302,4718.642032762472,4938.507073715562,4803.205510052122,4549.515078183172,5259.848287416232,6511.387751303053,4837.030900967982,3348.7137006701414,2570.729709605361,3416.3644825018614,3940.6580416976917,3940.6580416976917,4261.999255398362,5665.752978406553,4414.213514519732,4904.681682799702,5006.157855547282,4955.419769173492,4481.864296351452,4228.173864482502,4143.610387192852,4075.9596053611317,4363.475428145942,5784.141846612062,5615.014892032762,4972.332464631422,5428.975241995532,5750.316455696202,5598.102196574832,6612.863924050633,6765.078183172003,8523.998510796724,9369.633283693223,6494.475055845122,5547.364110201042,6460.649664929263,6629.776619508562,6139.308451228592,6206.959233060313,6156.221146686523,6342.260796723753,6798.903574087863,6748.165487714073,6934.205137751303,7204.808265078183,7864.403387937453,9099.030156366343,7813.665301563663,7475.411392405063,8135.006515264334,9521.847542814594,7255.546351451973,7424.673306031273,6697.427401340283,6139.308451228592,7729.101824274013,7475.411392405063,5631.9275874906925,4583.340469099032,4667.903946388682,3906.8326507818315,3788.4437825763216,3670.0549143708117,4414.213514519732,6190.046537602382,6426.824274013403,5716.491064780343,4887.768987341772,4650.991250930752,3856.0945644080416,4549.515078183172,5513.538719285182,4228.173864482502,4059.0469099032016,2925.8963142218913,2773.682055100521,3111.935964259121,2638.380491437081,2553.817014147431,2824.420141474311,4312.737341772152,5412.062546537602,9488.022151898735,9606.411020104244,9014.466679076693,6832.728965003723,9707.887192851824,10976.339352196575,9724.799888309753,8862.252419955325,8168.831906180193,6562.125837676843,5699.578369322412,7069.506701414743,7238.633655994043,Primary Copper,USGS,World,World,Global,2022 USD/metric ton,Price
Primary Copper_Annual production_World,837178.4251675353,889607.7810871183,938654.5979151154,1007996.6492926284,1116237.9002233804,1205875.1861504095,1224479.1511541326,1219405.3425167536,1258304.5420699925,1400371.1839166046,1451109.2702903945,1505229.8957557706,1691269.5457930006,1684504.4676098288,1586410.8339538346,1792745.7185405807,2401602.755026061,2418515.450483991,2418515.450483991,1681121.9285182427,1621927.4944154876,943728.4065524944,1495082.2784810127,2147912.3231571107,2300126.5822784808,2587642.405063291,2553817.014147431,2570729.709605361,2925896.314221891,3297975.6142963516,2722943.968726731,2367777.364110201,1537364.0171258377,1775833.0230826507,2164825.018615041,2536904.318689501,2908983.6187639614,3873007.2598659717,3365626.3961280715,3602404.1325390916,4059046.9099032017,4194348.473566642,4380388.123603872,4431126.209977662,4160523.0826507816,3568578.7416232317,3010459.791511541,3602404.1325390916,3737705.6962025315,3619316.8279970214,4025221.518987342,4211261.169024572,4346562.732688012,4397300.819061802,4464951.600893522,4904681.6827997025,5412062.546537602,5581189.501116903,5395149.851079673,5801054.542069992,6663602.010424423,6917292.442293373,7137157.483246463,7255546.351451973,7526149.478778853,7881316.083395383,7746014.5197319435,7830577.997021593,8473260.424422933,9335807.892777365,9978490.320178704,10046141.102010423,11060902.829486225,11703585.256887564,12008013.775130305,11399156.738644825,12278616.902457185,12549220.029784065,12312442.293373045,12430831.161578555,12177140.729709605,13005862.807148175,12819823.157110946,12870561.243484735,13208815.152643336,13513243.670886075,13428680.193596426,13936061.057334326,14747870.439314967,15289076.693968726,15559679.821295606,15779544.862248696,16016322.598659717,16050147.989575576,16067060.685033506,16912695.457930006,18603965.003723007,19449599.77661951,20464361.50409531,21648250.18615041,22324758.00446761,23170392.77736411,23001265.82278481,23339519.73194341,24861662.32315711,25369043.18689501,25538170.14147431,26214677.95979151,26383804.914370812,27229439.68726731,27229439.68726731,27229439.68726731,28244201.41474311,31119359.642591212,31457613.551749814,32472375.279225614,34501898.73417722,33656263.96128071,34501898.73417722,Primary Copper,USGS,World,World,Global,metric tons,Annual production
