ID,2010,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_SI,185000.0,Pumped Hydro Storage,Slovenia,kW,GESDB,Cumulative Rated Power,National,SI
Pumped Hydro Storage_Cumulative Rated Capacity_SI,0.0,Pumped Hydro Storage,Slovenia,kWh,GESDB,Cumulative Rated Capacity,National,SI
