ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Tin Production_Annual production_US,,,,,,,,,,,,,,,,,3467.1025688756513,9301.982501861505,15779.544862248697,18773.09195830231,27060.312732688013,17758.33023082651,13969.886448250187,11449.894825018615,745.8498696947133,,,,,,,,,,,,,,,,2384.690059568131,3162.6740506329115,27736.82055100521,36869.67609828742,53105.863737900225,69511.17833209233,38053.564780342516,57164.91064780342,63084.35405807893,61562.21146686523,56826.65673864482,54289.75241995532,39237.453462397614,64606.496649292625,47017.29337304542,38391.81868950112,30273.724869694714,2689.118577810871,,,,,,,,5327.499069247952,6579.0385331347725,5242.935591958302,5936.356105733433,593.6356105733432,,6866.554355919583,7221.720960536113,8253.395383469844,10316.744229337304,10993.252047654505,9690.974497393894,11365.331347728965,9978.490320178704,7779.839910647804,5073.808637379002,3382.5390915860016,5919.443410275502,4228.173864482502,6765.078183172003,7272.459046909903,7357.022524199553,8929.903201787043,3467.1025688756513,2655.2931868950113,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tin Production,USGS,United States,US,National,metric tons,Annual production
Tin Production_Price_World,21817.37714072971,12210.966120625466,18942.218912881606,19111.345867460906,18942.218912881606,21309.99627699181,26891.185778108713,25030.78927773641,19956.980640357408,20126.107594936708,22324.75800446761,27736.82055100521,29089.836187639612,27229.43968726731,20802.61541325391,23170.392777364108,24185.15450483991,29428.090096798212,35685.78741623231,22324.75800446761,14646.394266567386,10130.704579300074,11805.061429635145,15153.775130305286,17758.33023082651,20126.107594936708,22324.75800446761,22493.88495904691,17927.45718540581,16050.147989575577,11585.196388682054,9792.450670141474,9758.625279225615,18265.71109456441,23677.77364110201,22324.75800446761,20295.234549516008,23001.265822784808,18265.71109456441,21986.50409530901,21648.25018615041,21479.12323157111,19449.599776619507,18265.71109456441,17927.45718540581,17589.203276247208,16912.695457930007,21140.86932241251,25030.78927773641,25369.04318689501,24016.02755026061,29597.217051377513,27567.69359642591,21817.37714072971,20802.61541325391,21479.12323157111,22663.01191362621,20802.61541325391,19956.980640357408,21309.99627699181,20802.61541325391,23170.392777364108,23170.392777364108,23170.392777364108,30950.232688011914,34501.898734177215,30781.105733432614,27905.94750558451,25876.42405063291,27229.43968726731,27229.43968726731,25030.78927773641,25876.42405063291,31119.359642591215,48877.68987341772,38391.81868950112,40590.469099032016,53613.24460163812,58687.05323901712,61562.21146686523,62407.846239761726,49046.81682799702,41266.97691734922,39913.961280714815,36531.42218912882,33656.26396128071,21309.99627699181,22324.75800446761,22663.01191362621,25538.17014147431,17927.45718540581,16236.187639612806,17420.076321667908,14714.045048399106,15136.862434847357,16574.441548771407,15982.497207743856,14443.441921072226,13919.148361876396,13361.029411764706,13073.513588979895,10807.212397617275,9860.101451973194,11230.029784065524,17589.203276247208,14967.735480268057,17081.822412509307,26383.804914370812,31964.994415487712,23846.90059568131,34501.898734177215,42450.865599404315,33994.51787043931,27060.312732688013,26214.677959791512,19449.599776619507,21309.99627699181,23170.392777364108,22663.01191362621,20633.067051181253,Tin Production,USGS,World,World,Global,2022 USD/metric ton,Price
Tin Production_Annual production_World,,,,,,158302.82948622486,166420.92330603127,158641.08339538347,179274.57185405807,179274.57185405807,177583.30230826506,189422.18912881607,206334.88458674608,230012.6582278481,216482.5018615041,218173.77140729708,216482.5018615041,228321.38868205508,216482.5018615041,208026.1541325391,213099.9627699181,186039.65003723008,214791.2323157111,219865.0409530901,240160.2755026061,248616.6232315711,246925.3536857781,272294.3968726731,304428.51824274013,331488.83097542817,302737.2486969471,251999.1623231571,163207.51116902457,152890.76693968725,206334.88458674608,231703.9277736411,307811.05733432615,360240.41325390915,280750.7446016381,304428.51824274013,405904.6909903202,412669.76917349215,209717.4236783321,246925.3536857781,172509.49367088606,149508.22784810126,151199.49739389427,194495.99776619507,263838.04914370814,277368.2055100521,290898.3618763961,290898.3618763961,299354.7096053611,326415.02233804914,324723.7527922561,338253.90915860015,343327.7177959791,345018.9873417721,263838.04914370814,277368.2055100521,309502.3268801191,316267.40506329114,321341.2137006701,328106.29188384215,333180.1005212211,345018.9873417721,356857.87416232313,368696.76098287414,392374.53462397616,387300.7259865972,392374.53462397616,397448.3432613552,412669.76917349215,402522.15189873416,394065.80416976917,375461.8391660462,368696.76098287414,390683.26507818315,407595.9605361132,414361.03871928516,414361.03871928516,402522.15189873416,370388.03052866715,333180.1005212211,317958.67460908415,306119.78778853314,292589.6314221891,304428.51824274013,346710.25688756513,394065.80416976917,373770.56962025317,339945.17870439315,323032.4832464631,321341.2137006701,301045.9791511541,339945.17870439315,372079.30007446016,407595.9605361132,390683.26507818315,414361.03871928516,470172.9337304542,416052.3082650782,394065.80416976917,436347.54281459417,503998.3246463142,500615.78555472824,495541.9769173492,509072.1332836932,436347.54281459417,400830.88235294115,449877.6991809382,453260.2382725242,429582.4646314222,544588.7937453463,544588.7937453463,519219.7505584512,522602.28965003724,576722.9151154133,546280.0632911392,500615.78555472824,Tin Production,USGS,World,World,Global,metric tons,Annual production
