ID,1951,1976,1981,1988,1998,2006,2008,2013,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_IN,150000.0,162000.0,1832000.0,2232000.0,2472000.0,4172000.0,5072000.0,5772000.0,6772000.0,Pumped Hydro Storage,India,kW,GESDB,Cumulative Rated Power,National,IN
Pumped Hydro Storage_Cumulative Rated Capacity_IN,0.0,0.0,0.0,0.0,0.0,0.0,5400000.0,11000000.0,11000000.0,Pumped Hydro Storage,India,kWh,GESDB,Cumulative Rated Capacity,National,IN
