ID,2000,2003,2008,2009,2011,2012,2013,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_AE,1,1,1,1,1,1,1,1,1,1,3,4,2,United Arab Emirates,National,AE,UNOOSA,Total Number,-,Objects Launched Into Space
