ID,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Motor Gasoline_Price_World,0.7558596100278551,0.8897097493036211,1.0078128133704736,1.031433426183844,1.0550540389972145,1.0393069637883008,1.0156863509749303,1.0550540389972145,1.0078128133704736,0.9920657381615599,0.9684451253481894,0.9763186629526461,0.9133303621169916,0.897583286908078,0.8897097493036211,0.8818362116991643,0.8582155988857938,0.8345949860724233,0.8188479108635096,0.8188479108635096,0.7952272980501393,0.7873537604456824,0.7401125348189415,PCDB,Price,Motor Gasoline,Global,World,World,2022 USD/gal
Motor Gasoline_Annual production_World,,0.84,0.92,0.96,1.02,1.14,1.19,1.29,1.29,1.42,1.48,1.48,1.49,1.55,1.59,1.6,1.66,1.71,1.78,1.82,1.91,1.98,2.09,PCDB,Annual production,Motor Gasoline,Global,World,World,billion barrels
