ID,1890,1940,1950,1960,1970,1980,1989,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Running Water_Share of Households_US,0.24,0.7,0.83,0.93,0.98,0.99,1.0,United States,US,National,%,Running Water,Share of Households,OWID
