ID,1971,1972,1974,1978,1982,1985,1989,1993,1997,1999,2000,2002,2003,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Transistors per Microprocessor_Computing Capacity_World,2250.0,2500.0,5000.0,29000.0,120000.0,275000.0,1600000.0,3100000.0,7500000.0,24000000.0,42000000.0,169000000.0,410000000.0,Kurzweil,World,World,Global,Computing Capacity,Transistors per Microprocessor,no. of transistors/chip
