ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Zinc-Based Battery_Cumulative Rated Power_ID,4400.0,Zinc-Based Battery,Indonesia,kW,GESDB,Cumulative Rated Power,National,ID
Zinc-Based Battery_Cumulative Rated Capacity_ID,211200.0,Zinc-Based Battery,Indonesia,kWh,GESDB,Cumulative Rated Capacity,National,ID
