ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel Battery Storage_Cumulative Rated Power_KE,500.0,Flywheel Battery Storage,Kenya,kW,GESDB,Cumulative Rated Power,National,KE
Flywheel Battery Storage_Cumulative Rated Capacity_KE,0.0,Flywheel Battery Storage,Kenya,kWh,GESDB,Cumulative Rated Capacity,National,KE
