ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_NZ,5.0,Lead-Acid Battery Storage,New Zealand,kW,GESDB,Cumulative Rated Power,National,NZ
Lead-Acid Battery Storage_Cumulative Rated Capacity_NZ,25.0,Lead-Acid Battery Storage,New Zealand,kWh,GESDB,Cumulative Rated Capacity,National,NZ
