ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Raw Steel Production_Annual production_US,15627330.603127327,20633488.45867461,23001265.82278481,22324758.00446761,21309996.27699181,30781105.733432613,35854914.37081161,35854914.37081161,21479123.231571108,36700549.14370812,40083088.23529412,36362295.234549515,47862928.14594192,48032055.10052122,36024041.32539091,49215943.78257632,65452131.422189124,68665543.55919583,67481654.87714073,52598482.874162324,63929988.83097543,30104597.915115412,54120625.46537602,68158162.69545794,57503164.55696202,68665543.55919583,73062844.37825763,67989035.74087863,77798399.10647804,85070858.15338793,61562211.46686523,39744834.326135516,20971742.36783321,35685787.41623232,39913961.28071482,46848166.41846612,73231971.33283693,77629272.15189873,43465627.32688012,102829188.38421445,131919024.57185405,127183469.84363365,131919024.57185405,136316325.39091587,137500214.07297096,122278788.16083395,102152680.56589724,130227755.02606106,135978071.48175725,119572756.88756515,148493466.12062547,161347114.66865227,142912276.61950856,170818224.12509307,135470690.61801934,179274571.8540581,177583302.30826506,172509493.67088607,130735135.88979895,143419657.48324645,152383386.07594937,150353862.62099776,150861243.48473567,167604811.98808637,194495997.7661951,201261075.94936708,206334884.5867461,194495997.7661951,201261075.94936708,216482501.86150408,201261075.94936708,184348380.49143708,204643615.0409531,231703927.7736411,223247580.0446761,179274571.8540581,196187267.3119881,192804728.2204021,209717423.6783321,209717423.6783321,170818224.12509307,186039650.03723007,114498948.25018615,129889501.11690246,141897514.89203277,135470690.61801934,125153946.38868205,136823706.25465375,153398147.80342516,150353862.62099776,151706878.25763217,134794182.79970217,142574022.71034995,150184735.66641846,154243782.57632166,161008860.75949368,161516241.62323156,166590050.26061058,166759177.21518987,164729653.76023826,172509493.67088607,152383386.07594937,154920290.39463887,158471956.44080415,168619573.71556216,160501479.89575577,166082669.39687267,165913542.44229338,155427671.25837678,100461411.02010424,136147198.43633655,146125688.75651526,150015608.71183917,146971323.52941176,149169973.93894267,133272040.20848845,132764659.34475055,138007594.93670887,146463942.66567385,148493466.12062547,Raw Steel Production,USGS,United States,US,National,metric tons,Annual production
Raw Steel Production_Price_World,1178.8148734177214,1053.6609270290394,1090.8688570364855,1060.4260052122115,813.5006515264333,1002.9228406552494,1024.9093447505584,1028.2918838421444,1002.9228406552494,887.9165115413253,935.2720588235294,823.6482688011913,791.5141474311243,847.3260424422933,700.1855919583023,788.1316083395383,1381.7672189128816,1657.4441548771406,1163.5934475055844,854.0911206254654,908.2117460908414,640.9911578555473,615.6221146686522,828.7220774385703,781.3665301563664,708.6419396872673,683.2728965003723,642.6824274013403,664.6689314966493,681.5816269545793,629.1522710349963,651.1387751303052,701.8768615040952,766.1451042442293,820.2657297096054,798.2792256142964,838.8696947133284,1013.0704579300075,1013.0704579300075,957.2585629188384,933.5807892777364,889.6077810871184,801.6617647058823,755.9974869694713,742.4673306031273,745.8498696947133,769.5276433358154,740.7760610573343,779.6752606105733,855.7823901712584,874.3863551749814,864.2387379002233,867.6212769918094,921.7419024571853,953.8760238272524,1013.0704579300075,1073.9561615785553,1134.8418652271034,1124.6942479523454,1187.2712211466865,1166.9759865971705,1155.1370997766194,1143.2982129560685,1139.9156738644824,1161.9021779597915,1143.2982129560685,1104.3990134028295,1077.3387006701414,1072.2648920327624,1085.7950483991065,1094.2513961280715,1183.8886820551004,1036.7482315711095,1146.6807520476546,1329.3378629932986,1290.4386634400596,1209.2577252419956,1271.8346984363366,1305.6600893521966,1172.0497952345495,1195.7275688756515,1133.1505956813105,1070.5736224869695,1221.0966120625465,1287.0561243484735,1356.3981757259867,1336.1029411764705,909.9030156366343,872.6950856291884,980.9363365599404,930.1982501861504,936.9633283693224,735.7022524199554,757.6887565152643,779.6752606105733,757.6887565152643,735.7022524199554,757.6887565152643,708.6419396872673,620.6959233060312,600.4006887565153,583.4879932985853,608.8570364854803,627.4610014892032,869.3125465376023,1119.6204393149665,1266.7608897989576,1055.3521965748325,1410.5188011913626,1019.8355361131794,1170.3585256887566,,,,,,,,,,Raw Steel Production,USGS,World,World,Global,2022 USD/metric ton,Price
Raw Steel Production_Annual production_World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290898361.8763961,277368205.51005214,170818224.12509307,208026154.1325391,208026154.1325391,238469005.9568131,245234084.1399851,319649944.1548771,356857874.1623232,356857874.1623232,397448343.26135516,378844378.25763214,454951507.8183172,480320551.0052122,495541976.9173492,458334046.90990317,515837211.46686524,585179262.8443782,595326880.1191362,610548306.0312732,654521314.2218913,739084791.5115414,776292721.5189873,803353034.2516754,835487155.6217424,896372859.2702904,970788719.2851824,1004614110.2010424,982627606.1057334,1063808544.3037975,1180506142.9635146,1197418838.4214444,1089177587.4906924,1139915673.8644824,1138224404.3186896,1209257725.2419956,1259995811.6157856,1210948994.7877884,1195727568.8756516,1089177587.4906924,1121311708.8607595,1202492647.0588236,1214331533.8793745,1205875186.1504095,1241391846.6120625,1319190245.7185407,1325955323.9017127,1303968819.8064036,1246465655.2494416,1224479151.1541326,1234626768.4288905,1234626768.4288905,1271834698.4363365,1270143428.8905435,1347941827.9970217,1302277550.2606106,1325955323.9017127,1437579113.9240506,1440961653.0156367,1533981478.0342517,1647296537.6023827,1792745718.5405807,1928047282.2040207,2114086932.241251,2283213886.820551,2249388495.9046907,2080261541.3253908,2418515450.483991,2570729709.605361,2570729709.605361,2739856664.184661,2824420141.4743114,2722943968.7267313,2756769359.642591,2925896314.2218914,3061197877.885331,3145761355.174981,Raw Steel Production,USGS,World,World,Global,metric tons,Annual production
