ID,Country Name,Technology Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Code,Unit,Data Source,Spatial Scale,Metric
Potash Fertilizer_Annual Production_AR,Argentina,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,400,400,600,660,660,600,480,AR,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AM,Armenia,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AM,Armenia,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AM,Armenia,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AU,Australia,Nitrogen Fertilizer,24421,20500,19100,26000,35500,44000,55000,95000,160000,145000,176000,182000,197200,198000,180000,220000,215000,206000,209966,214000,206000,212000,232200,235000,215700,226200,249700,235900,230000,224500,229500,224100,232300,228900,281000,278700,250800,299000,316000,383000,379500,354464,314751,326123,338588,337240,392912,330489,543309,285633,317961,237495,716831.6,342300,413300,423400,423400,423400,423400,423400,AU,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AU,Australia,Phosphate Fertilizer,584844,644027,749009,831897,939732,967120,960146,880261,804135,685303,813212,1081912,1168900,728005,480700,690140,745360,802120,919380,829400,784960,620000,564000,568000,523000,610800,747100,723000,511300,269600,274200,319000,312600,425400,407300,333400,383400,357000,428620,588000,722850,637312,625824,637634,596768,585820,747920,538752,540088,412475,572887,582856,305343.99,321334.69,451251.16,524512.42,464767.39,513407.15,424297.17,482509.14,AU,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AU,Australia,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,700,500,700,300,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AU,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AT,Austria,Nitrogen Fertilizer,172380,173422,169812,184900,211070,234520,252550,255080,248050,218900,231600,229700,230450,226190,256000,239000,285000,295000,275000,300000,238100,254800,209000,253000,222000,193000,247000,234500,230000,229500,265000,184000,220000,223000,222000,240000,227000,254000,236000,186000,216000,,,,,,,,,,,,,,,,,,,,AT,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AT,Austria,Phosphate Fertilizer,38560,52686,58177,59924,55276,63372,75335,77172,90950,102200,123073,138639,142774,144600,90200,105000,107500,104000,107800,105000,95500,88025,95100,99100,75300,49800,64400,49700,61000,70000,77000,79000,77000,58000,44000,72000,64000,62000,57000,51000,74200,,,,,,,,,,,,,,,,,,,,AT,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AZ,Azerbaijan,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,AZ,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AZ,Azerbaijan,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000,40000,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,AZ,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AZ,Azerbaijan,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,10000,30000,8000,3000,5000,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,AZ,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BS,Bahamas,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,BS,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BS,Bahamas,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,BS,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BS,Bahamas,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,BS,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BH,Bahrain,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214300,223376,246974,281800,290260,260820,234600,258086.68,287353.72,268990.98,304060,300840,289340,310040,288420,316480,319240,320840.96,373899.26,307988.97,355656.96,355656.96,389526.98,BH,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BH,Bahrain,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BH,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BH,Bahrain,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BH,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BD,Bangladesh,Nitrogen Fertilizer,7768,32176,45775,35040,42065,43045,49950,39823,43424,80169,21251,92230,129700,32680,130983,128058,107674,134851,168125,160508,193428,236579,335316,343096,386182,391327,592734,666108,677340,659300,759100,925200,995760,909840,981640,965739,868247,1010100,1048800,1099800,1116680,1155433,952070,923410,880646,815701,855556,692900,594020,491520,425340,437820,477460,394580,415220,482040,435200,361160,379840,379840,BD,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BD,Bangladesh,Phosphate Fertilizer,,,,,,,,,,,,,,13812,22453,20152,17646,28652,32710,32900,27000,31100,36500,24800,46349,57829,53789,65599,67287,50910,40500,40069,49200,50180,60000,49424,38948,41100,52800,50480,54840,49500,58866,64750,69022,69015,65150,58420,24380,50140,47380,51980,31280,61640,69460,90620,76360,70840,82800,82800,BD,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BD,Bangladesh,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,BD,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BB,Barbados,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BB,Barbados,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BB,Barbados,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BB,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BY,Belarus,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567700,457800,404800,429000,449600,378900,442500,534400,574300,608200,644420,635865,665034,682065,711548,749944,727975,731378,771295,813922,832766,833096,841911,861185,843010,854320,869965,988187,958943,BY,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BY,Belarus,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000,68100,27700,46100,91500,128200,127000,48800,87000,84200,73955,86242,114298,135816,148848,152374,173482,173733,196042,193147,122775,203462,186295,178709,174567,201319,211100,216967,215017,BY,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BY,Belarus,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311000,1947000,2510000,2789000,2716000,3247000,3451000,3613000,3372000,3687000,3811893,4276274,4712104,4886995,4565090,5097439,5066066,2434559,5209053,5292855,4828161,4242736,6339990,6467878,6180050,7101799,7346096,7348293,7562153,BY,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BE,Belgium,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790000,790000,840200,922600,958600,1004300,888400,884300,946500,955600,931700,873300,847100,864300,822300,865900,787600,787600,787600,BE,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BE,Belgium,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,150000,149600,135200,146200,152500,142000,106000,130000,110000,104000,236900,219700,254500,255100,301400,319700,319700,319700,BE,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BE,Belgium,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BZ,Belize,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,BZ,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BZ,Belize,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,BZ,metric tons,FAOSTAT,National,Annual Production
