ID,2003,2017,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_GR,1,1,1,Greece,National,GR,UNOOSA,Total Number,-,Objects Launched Into Space
