ID,2003,2011,2017,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_NG,1,3,1,Nigeria,National,NG,UNOOSA,Total Number,-,Objects Launched Into Space
