ID,1999,2001,2004,2005,2006,2007,2008,2010,2013,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_JP,6000.0,8400.0,26000.0,28000.0,30000.0,31000.0,66500.0,70500.0,70900.0,75100.0,125100.0,Sodium-Based Battery Storage,Japan,kW,GESDB,Cumulative Rated Power,National,JP
Sodium-Based Battery Storage_Cumulative Rated Capacity_JP,48000.0,62400.0,178000.0,190000.0,202000.0,208000.0,447500.0,476300.0,479180.0,504380.0,804380.0,Sodium-Based Battery Storage,Japan,kWh,GESDB,Cumulative Rated Capacity,National,JP
