ID,2006,2011,2014,2017,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_KZ,1,1,3,1,3,Kazakhstan,National,KZ,UNOOSA,Total Number,-,Objects Launched Into Space
