ID,2017,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_BD,1,1,Bangladesh,National,BD,UNOOSA,Total Number,-,Objects Launched Into Space
