ID,2017,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_MN,1,Mongolia,National,MN,UNOOSA,Total Number,-,Objects Launched Into Space
