ID,2000,2005,2012,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_JP,3000.0,7000.0,8000.0,8030.0,23030.0,Flow Battery Storage,Japan,kW,GESDB,Cumulative Rated Power,National,JP
Flow Battery Storage_Cumulative Rated Capacity_JP,810.0,6810.0,11810.0,12110.0,72110.0,Flow Battery Storage,Japan,kWh,GESDB,Cumulative Rated Capacity,National,JP
