ID,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_ID,1040000.0,Pumped Hydro Storage,Indonesia,kW,GESDB,Cumulative Rated Power,National,ID
Pumped Hydro Storage_Cumulative Rated Capacity_ID,0.0,Pumped Hydro Storage,Indonesia,kWh,GESDB,Cumulative Rated Capacity,National,ID
