ID,2010,2013,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_GB,1000.0,1250.0,1261.0,Sodium-Based Battery Storage,United Kingdom,kW,GESDB,Cumulative Rated Power,National,GB
Sodium-Based Battery Storage_Cumulative Rated Capacity_GB,6000.0,6500.0,6522.0,Sodium-Based Battery Storage,United Kingdom,kWh,GESDB,Cumulative Rated Capacity,National,GB
