ID,1992,1998,2003,2005,2010,2011,2012,2013,2014,2015,2016,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Home Computers_Share of Households_US,0.207,0.42,0.631,0.6709999999999999,0.752,0.767,0.789,0.838,0.851,0.868,0.893,United States,US,National,%,Home Computers,Share of Households,OWID
