ID,1962,1965,1969,1971,1972,1973,1975,1976,1978,1982,1983,1984,1985,1991,1992,1995,1996,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CA,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,3,1,1,2,5,2,2,2,4,4,2,3,5,3,6,11,7,Canada,National,CA,UNOOSA,Total Number,-,Objects Launched Into Space
