ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Steamships_Total Number_NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,6.0,10.0,12.0,12.0,13.0,15.0,17.0,20.0,31.0,40.0,41.0,41.0,42.0,40.0,38.0,40.0,43.0,42.0,43.0,45.0,43.0,43.0,48.0,59.0,66.0,73.0,80.0,86.0,84.0,79.0,79.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,NL,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,34.0,38.0,39.0,43.0,40.0,44.0,43.0,41.0,40.0,36.0,38.0,40.0,41.0,38.0,29.0,27.0,35.0,37.0,38.0,41.0,44.0,49.0,48.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,CU,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,14.0,18.0,16.0,14.0,15.0,20.0,24.0,24.0,24.0,24.0,25.0,30.0,33.0,38.0,40.0,41.0,41.0,44.0,48.0,61.0,72.0,75.0,78.0,88.0,86.0,90.0,108.0,122.0,134.0,165.0,176.0,185.0,187.0,190.0,199.0,224.0,237.0,255.0,271.0,277.0,276.0,278.0,287.0,302.0,319.0,340.0,346.0,358.0,373.0,397.0,414.0,432.0,471.0,492.0,478.0,492.0,497.0,503.0,544.0,566.0,600.0,635.0,639.0,646.0,637.0,634.0,636.0,636.0,665.0,658.0,628.0,531.0,491.0,509.0,565.0,609.0,622.0,623.0,644.0,659.0,638.0,617.0,602.0,595.0,599.0,606.0,610.0,591.0,583.0,563.0,549.0,521.0,518.0,499.0,465.0,437.0,,408.0,,349.0,339.0,383.0,373.0,358.0,344.0,311.0,268.0,252.0,218.0,192.0,165.0,149.0,140.0,118.0,99.0,87.0,74.0,66.0,55.0,48.0,45.0,43.0,43.0,42.0,35.0,37.0,36.0,39.0,36.0,32.0,37.0,37.0,33.0,30.0,28.0,26.0,24.0,21.0,16.0,14.0,12.0,12.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,Denmark,DK,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,114.0,,,189.0,,,,218.0,222.0,259.0,296.0,326.0,,,379.0,342.0,360.0,369.0,,,,,,,,,522.0,567.0,604.0,657.0,714.0,745.0,810.0,840.0,832.0,834.0,847.0,,906.0,898.0,925.0,943.0,1015.0,1068.0,1103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,RU,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,6.0,,6.0,,,,5.0,,6.0,7.0,7.0,6.0,,,,,17.0,17.0,19.0,24.0,24.0,18.0,25.0,34.0,40.0,46.0,44.0,,55.0,,69.0,71.0,83.0,95.0,98.0,114.0,124.0,142.0,144.0,145.0,146.0,,,213.0,225.0,221.0,,,,,295.0,295.0,286.0,296.0,316.0,320.0,350.0,382.0,416.0,413.0,421.0,448.0,468.0,469.0,501.0,516.0,569.0,579.0,586.0,598.0,603.0,633.0,672.0,669.0,699.0,717.0,792.0,793.0,809.0,795.0,637.0,598.0,575.0,568.0,547.0,558.0,564.0,570.0,538.0,520.0,530.0,535.0,545.0,528.0,547.0,567.0,562.0,560.0,470.0,429.0,405.0,400.0,362.0,312.0,333.0,386.0,385.0,387.0,376.0,375.0,360.0,338.0,327.0,316.0,293.0,274.0,252.0,223.0,216.0,200.0,192.0,179.0,157.0,140.0,123.0,101.0,78.0,59.0,53.0,44.0,37.0,28.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finland,FI,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,8.0,,,7.0,7.0,7.0,10.0,9.0,9.0,9.0,11.0,,2.0,7.0,12.0,14.0,18.0,18.0,26.0,28.0,28.0,25.0,,,18.0,18.0,24.0,27.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chile,CL,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,12.0,12.0,11.0,9.0,11.0,11.0,12.0,18.0,15.0,14.0,16.0,23.0,24.0,27.0,30.0,31.0,24.0,34.0,35.0,33.0,30.0,30.0,30.0,30.0,33.0,29.0,24.0,32.0,39.0,35.0,33.0,37.0,43.0,75.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,MX,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,3.0,3.0,6.0,6.0,14.0,,20.0,24.0,25.0,28.0,28.0,30.0,,40.0,46.0,59.0,64.0,64.0,67.0,70.0,69.0,80.0,78.0,79.0,91.0,90.0,95.0,95.0,97.0,104.0,113.0,116.0,114.0,128.0,133.0,134.0,137.0,,130.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hungary,HU,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,6.0,5.0,7.0,8.0,,5.0,6.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,7.0,8.0,8.0,5.0,6.0,4.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,9.0,11.0,12.0,12.0,12.0,19.0,28.0,24.0,27.0,23.0,28.0,34.0,39.0,42.0,41.0,46.0,47.0,51.0,54.0,55.0,55.0,50.0,42.0,46.0,47.0,47.0,56.0,50.0,54.0,54.0,56.0,60.0,67.0,69.0,66.0,68.0,67.0,65.0,67.0,73.0,74.0,84.0,97.0,99.0,93.0,97.0,112.0,,,,,,,180.0,195.0,183.0,180.0,156.0,150.0,145.0,142.0,139.0,149.0,140.0,137.0,117.0,103.0,96.0,91.0,89.0,76.0,67.0,56.0,59.0,56.0,,,30.0,28.0,34.0,47.0,52.0,48.0,45.0,43.0,40.0,39.0,32.0,32.0,34.0,34.0,34.0,31.0,27.0,22.0,21.0,18.0,15.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium,BE,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,,,,560.0,,,,,,,,,,1008.0,,,,,,,,,1000.0,,,1718.0,,,1889.0,1969.0,2101.0,2177.0,2289.0,2410.0,2543.0,2654.0,2810.0,3007.0,3084.0,3229.0,3332.0,3444.0,3667.0,3847.0,4054.0,4132.0,4202.0,4264.0,4366.0,4442.0,4281.0,,4388.0,4463.0,4499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,CA,CHAT,National,-,Total Number,Steamships
