ID,1974,1979,1986,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_NO,40000.0,310000.0,967000.0,Pumped Hydro Storage,Norway,kW,GESDB,Cumulative Rated Power,National,NO
Pumped Hydro Storage_Cumulative Rated Capacity_NO,0.0,0.0,0.0,Pumped Hydro Storage,Norway,kWh,GESDB,Cumulative Rated Capacity,National,NO
