ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Lead_Annual production_IR,11000.0,16000.0,12400.0,14700.0,18300.0,15900.0,15700.0,18200.0,11000.0,11000.0,15000.0,19000.0,19000.0,20000.0,22000.0,23000.0,24000.0,25000.0,26900.0,20000.0,35000.0,35000.0,35000.0,Iran,IR,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_IE,35300.0,39900.0,42900.0,48300.0,53700.0,69100.0,45300.0,45100.0,36500.0,43800.0,57800.0,44500.0,32000.0,50000.0,65900.0,63800.0,62000.0,54100.0,50200.0,43000.0,39100.0,50700.0,51000.0,Ireland,IE,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_IT,16000.0,14200.0,21600.0,7400.0,13900.0,13600.0,11100.0,11800.0,6800.0,6000.0,2000.0,1000.0,2000.0,2000.0,600.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,Italy,IT,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_JP,18700.0,18300.0,18800.0,16500.0,9950.0,9660.0,7750.0,5230.0,6200.0,6070.0,8840.0,5000.0,5720.0,5660.0,5510.0,3440.0,777.0,,,,,,,Japan,JP,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_KZ,,,170000.0,95000.0,57000.0,40000.0,35000.0,31000.0,30000.0,34100.0,40000.0,37700.0,40000.0,37500.0,33000.0,31000.0,48100.0,40200.0,38800.0,39400.0,36100.0,34600.0,38500.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_KE,80000.0,,,396.0,350.0,5.0,5.0,,,,,,,,,,,,,,,,,Kenya,KE,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_KP,14900.0,80000.0,75000.0,80000.0,80000.0,80000.0,80000.0,75000.0,70000.0,60000.0,60000.0,9000.0,10000.0,20000.0,20000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,"Korea, North",KP,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_KR,,12600.0,13600.0,7410.0,2170.0,4060.0,5130.0,3630.0,3560.0,1820.0,2720.0,988.0,28.0,,40.0,50.0,17.0,12.0,449.0,2060.0,1170.0,2580.0,2500.0,"Korea, Republic of",KR,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_MK,,,15000.0,8000.0,15000.0,25000.0,27000.0,28000.0,26000.0,12300.0,16200.0,9700.0,3500.0,2600.0,,,15600.0,29000.0,35000.0,38000.0,38000.0,36000.0,36000.0,Macedonia,MK,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_MX,187000.0,168000.0,170000.0,154000.0,170000.0,164000.0,174000.0,175000.0,166000.0,126000.0,138000.0,139000.0,139000.0,139000.0,118000.0,134000.0,120000.0,120000.0,101000.0,144000.0,192000.0,224000.0,210000.0,Mexico,MX,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_MA,68800.0,73700.0,76600.0,81700.0,73200.0,67700.0,71700.0,77100.0,79300.0,79900.0,81200.0,76700.0,62400.0,38600.0,31300.0,45800.0,53000.0,44800.0,33500.0,27000.0,32500.0,30700.0,30000.0,Morocco,MA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_NA,18000.0,15000.0,15000.0,11600.0,13900.0,16100.0,15300.0,13600.0,13600.0,9890.0,11100.0,12100.0,13800.0,18800.0,14300.0,14300.0,11800.0,10500.0,14100.0,10100.0,10100.0,8000.0,8000.0,Namibia,NA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_NG,106.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,Nigeria,NG,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_NO,3020.0,3520.0,3770.0,1700.0,3100.0,1460.0,2080.0,2000.0,,,,,,,,,,,,,,,,Norway,NO,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_PE,210000.0,218000.0,214000.0,225000.0,234000.0,238000.0,249000.0,262000.0,258000.0,272000.0,271000.0,290000.0,306000.0,309000.0,306000.0,319000.0,313000.0,329000.0,345000.0,302000.0,262000.0,230000.0,249000.0,Peru,PE,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_PL,61300.0,63600.0,51300.0,49100.0,54700.0,58100.0,58700.0,54800.0,59600.0,62900.0,51200.0,52600.0,56600.0,110000.0,60200.0,75100.0,97600.0,79400.0,87700.0,80400.0,60200.0,56000.0,57600.0,Poland,PL,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_RO,24700.0,16200.0,16700.0,16900.0,23800.0,23200.0,18700.0,19400.0,15100.0,20500.0,18800.0,19700.0,15100.0,15700.0,18300.0,11600.0,6270.0,1000.0,,,,,,Romania,RO,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_RU,,,22000.0,34000.0,25000.0,23000.0,23000.0,16000.0,13000.0,13000.0,13300.0,12300.0,19000.0,24000.0,23000.0,36000.0,36000.0,50000.0,60000.0,70000.0,97000.0,94500.0,95000.0,Russia,RU,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_SA,250.0,250.0,,,,,,,,50.0,50.0,60.0,60.0,60.0,30.0,,,,,,,,,Saudi Arabia,SA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_RS,,,,,,,,,,,,,,,,,1400.0,1600.0,1600.0,1800.0,2000.0,1800.0,1800.0,Serbia,RS,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CS,,,22700.0,3510.0,2670.0,3340.0,10000.0,11000.0,12000.0,8000.0,10500.0,7500.0,3100.0,2000.0,1000.0,1000.0,,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_SK,,,,1800.0,1800.0,1800.0,,,,,,,,,,,,,,,,,,Slovakia,SK,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_SI,,,2000.0,,,,,,,,,,,,,,,,,,,,,Slovenia,SI,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_ZA,69400.0,76300.0,75800.0,100000.0,95800.0,88400.0,88600.0,83100.0,84100.0,80200.0,75300.0,50800.0,49400.0,39900.0,37500.0,42200.0,48300.0,41900.0,46400.0,49100.0,50600.0,54500.0,55000.0,South Africa,ZA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_ES,58500.0,49200.0,30400.0,25500.0,23800.0,30100.0,23800.0,23900.0,21900.0,41800.0,40300.0,36000.0,6170.0,1770.0,,,,,,,,,,Spain,ES,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_SE,98300.0,91100.0,105000.0,112000.0,113000.0,100000.0,98800.0,109000.0,114000.0,116000.0,107000.0,86000.0,44000.0,51000.0,55000.0,61000.0,76800.0,62100.0,60000.0,69000.0,68000.0,62000.0,62000.0,Sweden,SE,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_TJ,,,2000.0,1600.0,1200.0,1000.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,Tajikistan,TJ,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_TH,22200.0,16700.0,11900.0,6050.0,7950.0,9680.0,21000.0,5400.0,6700.0,11900.0,15600.0,500.0,3200.0,,,,,,,,,,,Thailand,TH,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_TN,2970.0,1290.0,1360.0,863.0,2860.0,6600.0,4760.0,1420.0,4270.0,6600.0,6600.0,6820.0,5080.0,5000.0,5470.0,8710.0,,,,,,,,Tunisia,TN,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_TR,18400.0,15300.0,10800.0,11400.0,11200.0,10400.0,11000.0,13100.0,13500.0,14200.0,17300.0,17900.0,17400.0,16000.0,17000.0,19000.0,13000.0,32000.0,25000.0,26000.0,23000.0,39000.0,40000.0,Turkey,TR,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_SU,420000.0,380000.0,,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_GB,1380.0,1020.0,1000.0,1000.0,2000.0,1600.0,1800.0,1800.0,1600.0,1000.0,1000.0,1000.0,700.0,700.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,United Kingdom,GB,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_UZ,,,35000.0,25000.0,15000.0,10000.0,10000.0,,,,,,,,,,,,,,,6000.0,6000.0,Uzbekistan,UZ,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_VN,,,,,,,,1000.0,1000.0,1000.0,1000.0,900.0,1100.0,1100.0,2750.0,7700.0,14900.0,19200.0,14200.0,7700.0,7400.0,7400.0,7400.0,Vietnam,VN,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_YU,99100.0,90000.0,,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_ZM,9640.0,9080.0,4450.0,7030.0,,,,,,,,,,,,,,,,,,,,Zambia,ZM,National,USGS,metric tons,Annual production,Lead
