ID,2014,2016,2017,2018,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_UY,1,2,1,2,13,4,9,Uruguay,National,UY,UNOOSA,Total Number,-,Objects Launched Into Space
