ID,1995,2004,2010,2011,2013,2014,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_UA,1,2,1,2,1,1,1,Ukraine,National,UA,UNOOSA,Total Number,-,Objects Launched Into Space
