ID,2008,2012,2013,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_VN,1,2,2,1,Vietnam,National,VN,UNOOSA,Total Number,-,Objects Launched Into Space
